offer,experience,difficulty,interview,question,source
Accepted Offer,Positive Experience,Difficult Interview,,,Amazon
Accepted Offer,Positive Experience,Difficult Interview,,,Amazon
Accepted Offer,Positive Experience,Difficult Interview,"There is one phone interview for an hour. If you clear this interview, you will be invited for an onsite interview. There are five interviews onsite, all in one day. Interviews are in a casual environment. After the first two interviews, you take a break and are escorted for lunch.", Most questions are built around Amazon's 14 principles.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,Phone screen done by a recruiter then an on-site interview with four leaders. During the on-site you will take a situational math question that is ratio based. After that you will do up to four individual interviews using Amazons leadership principles. The questions need to be answered using the STAR method., Tell me about a time when you had to make a quick decision that was going to have a significant impact on the business.   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,, Tell me about yourself. Don't say something typical   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,The best interview process was insanely fast and easy maybe because of pandemic crisis we are facing. None... direct hire after completing the knowledge assessment. After successful submission it takes several days before the background check to complete and verify I'd., None... direct hire after completing the knowledge assessment   ,Amazon
No Offer,Positive Experience,Difficult Interview,,,Amazon
Accepted Offer,Positive Experience,Average Interview,," Signed an NDA, but all questions were similar to what has been shared previously.   ",Amazon
Accepted Offer,Positive Experience,Average Interview,"Applied online and was sent a personality test and job simulator. After I did that, was invited to a chime interview event. 1 recruiter meeting and 2, 45 minute interviews with current area managers/ops managers. Got a response 4 business days later. Overall a positive experience. Have examples for each of the leadership principles.", Know the leadership principles   ,Amazon
Declined Offer,Neutral Experience,Average Interview,"You apply online, then a recruiter reaches out to you via email. You then take an online test that includes a work simulation (testing your leadership skills), a self evaluation of your technical skills/interests, and then a technical exam. This test has 3 options: red, yellow, or green. If you score red, you're out. If you score yellow, then you meet with a solutions architect over the phone who does a technical exam with you to see if you're fit to go to the final ""loop"" interview. If you score green, you go directly to the final ""loop"" interview. Before the ""loop"" interview, recruiters are aggressively in contact with you giving you documents to read to enrich your outlook on the company. You're also set up to meet the lead recruiter who will answer all your questions to best prepare you for the ""loop"" interview. For the ""loop"" interview, you have 6 separate 45-minute sessions. One of these sessions is a technical assessment based on your resume's technical skills. Another session is with a salesperson who asks you sales related questions. Another session is a presentation for which you have to talk about a customer engagement you committed technical expertise to, the challenges/risks, how you went about solving the challenges/risks, your methods, the results, and benefits to the company. The other 3 45-minute sessions are purely over Amazon's leadership principles. (Tell me about a time when...). You answer in a STAR format. 5 days after your interview you'll get a call where you are accepted or rejected.",,Amazon
Accepted Offer,Positive Experience,Difficult Interview,," All behaviour based questions....""tell me about a time......""   ",Amazon
No Offer,Neutral Experience,Average Interview,"I'm still in the interview process, however you start off with the email and they ask you some questions, then you move on to the Hire Vue Assessment. It's done online, no personal interaction at all. Just a video of you and some questions. Now I'm waiting on the next step or to see if I passed the Hire Vue Assessment.",,Amazon
Accepted Offer,Positive Experience,Average Interview,"Once you pass the online virtual assessment, you are scheduled for Two Virtual Interviews on the same day, usually with Operations Managers across various FC’s. They send you videos to assist with the interview, MAKE SURE YOU WATCH THE VIDEOS. So you don’t go into the interview unprepared"," How would you handle the issue of one of your employees being late to work due to car troubles? Would you back up their time on the time clock, why or why not?   ",Amazon
No Offer,Negative Experience,Difficult Interview,"I don’t think is necessary to go to over 7+ interviews, multiple with the same manager and HR and with other people that don’t have anything to do with their job to make a decision on your competency. Some pf the interviewers look extremely bored and seemed they didn’t want to talk to you."," Examples of deep diving and metrics, a lot of behavioral questions but based on the Amazon principles   ",Amazon
Accepted Offer,Positive Experience,Average Interview,, Describe the most significant continuous improvement project that you led.   ,Amazon
No Offer,Positive Experience,Average Interview,, Why do you want to intern at Amazon?   ,Amazon
No Offer,Positive Experience,Average Interview,,,Amazon
No Offer,Positive Experience,Average Interview,, Tell me about yourself and why you want to work at Amazon.   ,Amazon
No Offer,Negative Experience,Difficult Interview,, 15 leadership principles. Know them and relate to experiences   ,Amazon
Accepted Offer,Positive Experience,Difficult Interview,Long Process. Submitted Application in May and got the Offer in November. 2 Phone interview and then onsite/online interview with 5 different people. Lots of guides available online that will help you, Their Leadership Principles and other behavior based questions   ,Amazon
No Offer,Neutral Experience,Difficult Interview,"Make sure you come prepared with many examples where you exhibited certain skills or processes. The majority of the interview focused on these situation based questions. I had two interviews back to back, 45 minutes each, so it was easy to become overwhelmed.", Describe an instance where you worked with someone difficult and how did you handle it?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, What times are you available to work?   ,Amazon
No Offer,Neutral Experience,Average Interview,"This is was a while ago, but I think there were 4 rounds. First, behavioral, second, coding, and third this weird office SIM. The coding part is fast and you have limited time to diagnose bugs", Basic coding issues with For loops any syntax   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, What would you do with an unhappy costumer?   ,Amazon
Accepted Offer,Negative Experience,Easy Interview,, how often can you work   ,Amazon
Accepted Offer,Positive Experience,Average Interview,, Explain a situation where you helped solve a technical issue for a client?   ,Amazon
No Offer,Positive Experience,Difficult Interview,, Coding question was a leetcode hard question   ,Amazon
No Offer,Positive Experience,Difficult Interview,, How do you use Scrum to improve project success.   ,Amazon
No Offer,Positive Experience,Average Interview,, Data logging system design question.   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, Describe a time in which you took ownership of something.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,," merge two linked lists, find kth largest element in an array   ",Amazon
No Offer,Positive Experience,Average Interview,," Code review, simple programming fundamentals   ",Amazon
No Offer,Positive Experience,Average Interview,, Where do you see yourself 2 months from now?   ,Amazon
No Offer,Positive Experience,Average Interview,"Just gave OAs (online assessments). Part 1 was debugging, second was coding and third was more like behavioral/ work environment simulation. The second round also included a behavioral section along with two coding rounds. The debugging round had 7 questions to solve in 20 mins.", Debugging and programming questions where the programming questions were medium - difficult.   ,Amazon
No Offer,Positive Experience,Average Interview,, Algorithm questions about graph and behavior   ,Amazon
No Offer,Positive Experience,Easy Interview,, it was very easy in the end of the day   ,Amazon
No Offer,Positive Experience,Average Interview,"The interview process was a 3 part online assessment with debugging, coding problems, and then a day in the life type assessment. Then, there was a 45 minute final round interview.", I got a tree traversal question. Find the kth smallest element in a binary search tree.   ,Amazon
No Offer,Negative Experience,Average Interview,," They NDA you, however, I can say that for this specific role, learn how to change DNS records, Troubleshoot DDOS, general Linux troubleshooting.   ",Amazon
No Offer,Neutral Experience,Average Interview,,,Amazon
No Offer,Negative Experience,Easy Interview,, non disclosure interview questions i   ,Amazon
No Offer,Neutral Experience,Average Interview,,,Amazon
Accepted Offer,Positive Experience,Average Interview,The process was not complicated at all. Very easy to go through. You meet with two people and they are all behavioral based questions. Be sure to be prepared with examples., All were behavioral based questions. Be sure to be prepared with examples.   ,Amazon
No Offer,Neutral Experience,Average Interview,it took 2 hours. mostly behavioral questions. I had an interview with four individuals. it would be hard if you did not prepare ahead. mostly focused on the amazon 14 principles., tell me about a time you had a conflicting idea with your team member and how to solve it?   ,Amazon
No Offer,Neutral Experience,Average Interview,, Explain one example where you overcame a big problem at work.   ,Amazon
No Offer,Positive Experience,Average Interview,, What is your expected compensation?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, How was your day sweetie   ,Amazon
No Offer,Negative Experience,Difficult Interview,, I am unable to share this.   ,Amazon
Accepted Offer,Positive Experience,Average Interview,, They used the STAR system and asked Behavioral Questions   ,Amazon
No Offer,Neutral Experience,Easy Interview,, Tell us about a time you work on a project   ,Amazon
Accepted Offer,Positive Experience,Average Interview,Two rounds done virtually. First was HireVue with a few typical interview questions. Second round through video with two different interviewers. Video interviews focused a lot on Amazon's leadership principles and how you relate to them., When was a time you have to balance multiple things and how did you work through it?   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, No interview questions at all   ,Amazon
No Offer,Positive Experience,Average Interview,,,Amazon
No Offer,Negative Experience,Difficult Interview,I went through what amazon calls a loop. Met with 7 people as some were doubled up “interview training” it was really intense for a contract job paying $20 an hour. I felt in the hot seat for hours and drained by the process., Describe a time you solved a complex problem with a simple solution.   ,Amazon
No Offer,Positive Experience,Average Interview,, Implement typeahead search to list consumer products   ,Amazon
No Offer,Negative Experience,Average Interview,, Why Should we hire you?   ,Amazon
Accepted Offer,Positive Experience,Average Interview,, What is a difficult decision you've made?   ,Amazon
No Offer,Neutral Experience,Average Interview,, a very hard DP quetions   ,Amazon
Accepted Offer,Positive Experience,Easy Interview,, Tell us about your experience as a CCR   ,Amazon
Declined Offer,Positive Experience,Easy Interview,, How do you handle stress situations?   ,Amazon
No Offer,Positive Experience,Difficult Interview,,,Amazon
No Offer,Positive Experience,Difficult Interview,, general question regarding dynamic programming   ,Amazon
No Offer,Neutral Experience,Average Interview,, How would you respond to this coworker's email?   ,Amazon
