interview,question,offer,experience,difficulty,source
"Lengthy 5 interview 5 hour non-stop interview sessions. 7 people total. Location was had a very industrial feel to it with little air circulation. With the exception of one of the interviewers, they acted like you should be bowing to the altar of Amazon for the privilege of being there.","Lots of ""tell me about a time when you...."" Or ""describe a time when you could have done something better...."" They were very open ended and nebulous. They made you feel like a hospital patient undergoing some sort of experimental treatment as they had ""interview trainees"" along for the ride. The last interview was by a senior person who blew significant smoke. Lastly and most annoyingly is that they continually",Declined Offer,Negative Experience,Average Interview,Amazon
"there wasn't an interview.sent a resume in.few days later got an email asking to come to the facility.once there I was hired on the basis of passing a background check and drug test.quick mini orientation and tour of the facility.filled out some paperwork,watched a couple slide shows,took the drug test and that was it.week later I got my start date.first night there was training and more slide shows.", someone asked me if I could work the shift they offered me and told me what id be making an hour.thats it.nothing else.it was basically one question with either a yes or no answer.simplest part of the whole job.   ,Accepted Offer,Neutral Experience,Easy Interview,Amazon
"5 rounds back to back, not to stressful. Interviewers wanted to learn about you as a person. There was one interview that focused on your math abilities. It was a situational question that each area manager would use on a daily basis. Interviewed with twelve other workers. lots of talented people interviewed I was a business major but there were other with Masters degrees or were engineers.", How do you handle conflict between 2 employees?   ,Accepted Offer,Positive Experience,Difficult Interview,Amazon
There was no interview. They ask for my I.D. and proof of high school education and hired a group of us on the spot. There was someone from amazon talking about the company and what we needed be able to do and the basics of the job. Also took a drug test during the group presentation which took most of the time., There was no interview   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
,,Accepted Offer,Positive Experience,Average Interview,Amazon
"Phone screen that focused on machine learning type algorithms and your background with them.. Basic SQL questions, be familiar with how to use joins to particular questions was easily answered by implementing a self join", Basic SQL questions... Beginner to intermediate. Some questions on ROC curves and interpretation and logistic regression   ,No Offer,Positive Experience,Average Interview,Amazon
"Phone interview with the agency. Then in person with the agency. With the company, 2 on the loop a phone interview then an in person and an interview with my peers", Tell me how you handle conflict   ,Accepted Offer,Positive Experience,Average Interview,Amazon
, Just general discussion about the level of the position.   ,Declined Offer,Negative Experience,Average Interview,Amazon
"Phone Screening with HR, two rounds of phone interviews with procurement professionals. Invited to an on-site interview session, where I met the two other candidates. We were given a plant tour together by HR and then went through four one-hour behavioral based interviews seperately with HR and three procurement professionals within the company. I got information from the last interviewer that they were making a decisiont that day, but HR recruiter emailed a few days later saying they were having trouble deciding so it would be Monday before I would hear. Friday night they called to tell me they went with another candidate, and wouldn't give me any feedback on why I was passed. They did tell me I was a good candidate for a manager of the position I interviewed for but didn't have any positions in the area. Not sure they were just telling me that to soften the blow or not though.", Why do you want to work for Amazon?   ,No Offer,Positive Experience,Difficult Interview,Amazon
,,Accepted Offer,Positive Experience,Easy Interview,Amazon
No interview was given. First day you go it is simply a job offer you sign for and take a drug test. A background check is also conducted and if both things pass you are hired., Do you have a High School diploma?   ,Accepted Offer,Positive Experience,Easy Interview,Amazon
"There was one screen interview with HR. She mentioned that there would be two phone interviews and one in-person interview after. I didn't make it past the first phone interview, which lasted over an hour. She was very friendly.", What is a question you would like me to ask you?   ,No Offer,Positive Experience,Difficult Interview,Amazon
