question,offer,experience,difficulty,interview,source
" The most difficult area is they asked me very broad areas of what I done in software engineering. Fortunately I got help from interview professional from Interviews Question (www.interviewsquestion.com) before I came for the interview. So prepared very well, there was almost no questions I could not answer. If I did not get help from Interviews Question, I could be failed.   ",Accepted Offer,Difficult Interview,,,Apple
" What is your passion in life? Name a time you went above and beyond for a customer. Explain RAM, Hard Drive, and Processor. Why Apple? Where do you see yourself in 5 years? Name a time you had to deal with an unruly customer.   ",Accepted Offer,Positive Experience,Difficult Interview,,Apple
,No Offer,Positive Experience,Difficult Interview,,Apple
 Describe yourself in several sentences.   ,No Offer,Neutral Experience,Easy Interview,,Apple
 Q: How do you spend your off time?   ,No Offer,Positive Experience,Easy Interview,,Apple
 What is the difference between virtual Pd and in person?   ,No Offer,Positive Experience,Average Interview,,Apple
,Accepted Offer,Negative Experience,Easy Interview,"Two phone screens and an on-site with one on ones and a portfolio review. The one on ones didn’t provide much clarity on the role because they said it was all secret, which was unfortunate because the role turned out to be completely different from what I was able to peace together initially. They should be more honest with candidates.",Apple
" Given an array of integers and a value, determine if there are any three integers in the array whose sum equals the given value.   ",No Offer,Positive Experience,Average Interview,Had a phone screen with a few technical questions but didn't get through them sadly (I was not prepared enough but the questions were clear). I recommend grinding more Leetcode and practicing more programming fundamentals to prepare.,Apple
,No Offer,Positive Experience,Average Interview,,Apple
 Tell me about your customer service   ,Accepted Offer,Positive Experience,Average Interview,,Apple
 resume projects and code questions.   ,No Offer,Positive Experience,Difficult Interview,,Apple
" They always ask ""Why Apple?""   ",Accepted Offer,Positive Experience,Easy Interview,,Apple
 Why did you apply to this company?   ,Accepted Offer,Positive Experience,Average Interview,,Apple
 Why do you want to work for apple?   ,No Offer,Positive Experience,Difficult Interview,,Apple
 How would you generally design a stack of thin films to reflect a given color?   ,No Offer,Positive Experience,Average Interview,"The role was on a team that manages cosmetic coatings for several Apple products. The process started with a phone call with the recruiter in which I was asked about my most recent employment. We also went over the job description and I was asked if I'd be ok with travel since there would be a lot of it. I then talked with the hiring manager in a more technical phone call. I was asked about my grad school research and we talked about what I did in my most recent job. I was also asked to explain a processing technique from my resume and how I would react in a common technical situation which the manager's group encounters often. Lastly, I spent a day in video calls (would have been on-site if not for COVID) with various members of the team and managers/directors who asked about my background and questions directly related to the role. I was not asked to go into detail about any single technique on my resume, but rather how I would solve various problems which would call on that experience. I was ultimately not given an offer because they found someone whose experience better matched the role.",Apple
 How would you approach your coworker if you notice they are not properly accomplishing their task?   ,No Offer,Neutral Experience,Average Interview,"Spend a lot of time asking you questions about yourself, and how you would handle customers on the floor. I wish they put more emphasis on the technical background they are looking for in the interview, instead of just the customer service aspect.",Apple
" UVM TB questions, sequence, sequencer and driver protocol, SV randomization questions   ",No Offer,Neutral Experience,Easy Interview,"It was a basic phone screen with quite a lot of questions to code on for Verilog, SV and UVM. Overall, the nature of the questions were not too difficult but a lot of emphasis was given on syntax",Apple
 all mostly basic behavioral questions   ,No Offer,Negative Experience,,,Apple
 How would you implement lazy loading yourself?   ,No Offer,Negative Experience,Easy Interview,,Apple
 when is a time you went above and beyond for a customer?   ,Accepted Offer,Positive Experience,Difficult Interview,,Apple
 What you would do in certain situations. You need to give sharp and specific answers.   ,Accepted Offer,Positive Experience,Difficult Interview,,Apple
 Why would you like to join Apple   ,No Offer,Positive Experience,Average Interview,,Apple
 Generic questions on rehashing and its importance   ,No Offer,Neutral Experience,Average Interview,,Apple
 What happens if Bit lines are at a higher potential (let's say 1.5 V) than word line (at 1 V = logic 1) while we try to read?   ,No Offer,Positive Experience,Average Interview,It was an average interview. The interviewer was really friendly. I couldn't answer a few questions on the SRAM cell and its functioning and few questions regarding static timing analysis. The interviewer even explained the parts I got wrong. In the end was a good interview.,Apple
 Majority behavioral questions and what I have been doing   ,No Offer,Negative Experience,Easy Interview,"The recruiters at Apple are worthless and I cannot emphasize how rude they are. I would think by now, that technology and software has automated and got rid of a lot of jobs, why hasn't it replaced recruiters? I was given an opportunity to interview at Apple, and the recruiter would text and call me without setting up any time to speak. She was really rude and wanted to move as soon as possible with onsite. She given me a take-home assessment for onsite, and I spend 2 days doing the assessment. Once finished, she said there was an extra step which was talk to an engineer regarding the assessment. But the hiring manager told her NO, and they will move onsite. The onsite was a joke, no technical questions were asked whatsoever. I was told that I would be hired, but then next day I got an email from the same Apple recruiter that I was rejected without providing any reasons of why?",Apple
 Behavioral   ,Accepted Offer,Neutral Experience,Average Interview,"1 phone screen 1 hiring manager screen 7 30 min interviews with leaders from all levels and different orgs. Overall everyone was very friendly and good spirited. Some interviewers were late and seemed in a rush which can throw you off. Process from first contact to start date was about 12 weeks so very long process, but good comp.",Apple
 Do you have an iphone?   ,No Offer,Positive Experience,Average Interview,,Apple
,No Offer,Negative Experience,Average Interview,,Apple
 Name a process that you know well   ,Declined Offer,Negative Experience,Average Interview,At first they set up a call for you to talk to one of the hiring directors. After that you are scheduled for a meeting that takes place via FaceTime.,Apple
 What is your favorite Apple product and why?   ,Accepted Offer,Positive Experience,Average Interview,,Apple
 What is the characteristic that determines how much a ball bounces when dropped on the floor?   ,Accepted Offer,Positive Experience,Easy Interview,,Apple
 How to invert a binary tree?   ,No Offer,Neutral Experience,Difficult Interview,It was a panel style review with 2 different rounds. They asked different programming questions on each round and how to implement various algorithms such as how to invert a binary tree.,Apple
 Many behavior and strategy: How would you marketing this?   ,No Offer,Positive Experience,Difficult Interview,Several months and 14 interviews plus a case study. All employees were respectful and intelligent. All on FaceTime or Webex. Hard to get an interview unless someone you know internally sends your resume to the hiring manager.,Apple
 They asked me many questions about my willingness to work on site   ,Declined Offer,Neutral Experience,Average Interview,,Apple
 Why would you be a good fit for this position?   ,Accepted Offer,Positive Experience,Easy Interview,,Apple
 What's your favorite Apple product? Why?   ,Accepted Offer,Positive Experience,Average Interview,"It took over 4 weeks to hear back, then a group interview, then the store manager. Everyone was nice and helpful. I remember to smile and be myself. The HR department is different from retail to corporate, this is something to keep in mind.",Apple
" Behavioral Questions, Technical, Past Experience   ",No Offer,Negative Experience,Average Interview,,Apple
 How would you build a music transcription model?   ,Accepted Offer,Positive Experience,,,Apple
,No Offer,Positive Experience,Average Interview,"Contacted via LinkedIn by recruiter, had two technical phone interviews with members of the team. Very communicative and friendly throughout the entire process. Feedback was provided very quickly after each step.",Apple
" My technical background, experience and skills and they asked about my educational background   ",Accepted Offer,Positive Experience,Average Interview,Had a phone interview and the recruiter was so positive and encouraging in spite of calling from such huge corporation she was humble and really great! I loved speaking with her and now looking forward to connect with her more!,Apple
 How does polymorphism work in practice in OOP? How is it implemented?   ,No Offer,Positive Experience,Average Interview,"First Technical screen was a phone interview with a senior hiring manager, basic questions about verilog and questions about past experience working with Hardware designs. Followed but algorithm question in C on codepad. Short interview, felt that I didn't meet the standards expected after the resume review process.",Apple
" If Apple was launching a new product in stores, how would you track its success?   ",No Offer,Positive Experience,Average Interview,,Apple
 Tell me about the most challenging project you worked   ,No Offer,Negative Experience,Average Interview,,Apple
 Describe the steps from RTL code to Silicon   ,No Offer,Negative Experience,Difficult Interview,,Apple
 Choose between different cross-sections of beams for strength requirements.   ,No Offer,Positive Experience,Difficult Interview,,Apple
" Power of 2, asynchronized and synchronized reset   ",No Offer,Neutral Experience,Average Interview,"Talk about resume projects, using code pad to coding related to software questions and RTL questions. Create verification plan and coding some assertions and constrains, discuss some corner cases. Ask some related concept to OOP.",Apple
" How do you feel about the statement ""the customer is always right"".   ",Accepted Offer,Positive Experience,Difficult Interview,,Apple
 Programming experience and college attended   ,Declined Offer,Positive Experience,Easy Interview,"Pretty straight forward, asked the basics along with my experience with programming. Definitely be able to answer on the spot and recall personal experiences and elaborate with detail. Be enticing!",Apple
,No Offer,Positive Experience,Average Interview,,Apple
 How did you handle a hard situation at work?   ,No Offer,Neutral Experience,Difficult Interview,"It was a pretty crowded group interview held in sections by multiple workers they did a slideshow in the beginning and then began to ask pretty general questions. Depending on how big your hiring event is, it can be extremely hard to get a word in and actually show why you deserve the job",Apple
 How would you manufacture the outside ring of a 5s?   ,No Offer,Positive Experience,Difficult Interview,"Phone Interviews of technical and behavioral nature. Asked about statics, manufacturing, and some basic behavioral stuff. Got to speak with several apple employees and ran through one specific apple recruiter.",Apple
 What is your favorite mechanical mechanism?   ,No Offer,Positive Experience,Difficult Interview,,Apple
 What is the latest Apple product that they just launched?   ,No Offer,Positive Experience,Difficult Interview,,Apple
" C library functions, C++ background, building a counter   ",No Offer,Neutral Experience,Average Interview,"I met with an engineer at the career fair, and they reached out for one round on campus in person. They called me back for one hour-long round on the phone. If the phone interview went well, we would move forward with a virtual on-campus call, which would be 3 interviews on a video call.",Apple
 What was one time you made a mistake? How did you correct it?   ,Declined Offer,Positive Experience,Average Interview,Very friendly team atmosphere! The interview was very conversational and questions were geared to hear your personality and experiences. Overall a fulfilling process that was easy to navigate. Highly recommend applying to a great company and showing brand loyalty.,Apple
,No Offer,Negative Experience,Easy Interview,,Apple
,Declined Offer,Negative Experience,Average Interview,,Apple
,No Offer,Negative Experience,Easy Interview,,Apple
 Dynamic programming and memory allocation   ,Declined Offer,Positive Experience,Average Interview,,Apple
 What have I worked on my previous company   ,No Offer,Positive Experience,Easy Interview,,Apple
 How comfortable am I with communication skills.   ,No Offer,Positive Experience,Average Interview,"Brief, efficient, and effective use of time to figure out how the applicant will do in the role. The interviewer was extremely kind and asked great questions to understand the applicant.",Apple
" There were absolutely no ""tell me about a time"" questions. It was more like conversations. One interviewer asked what my ideal job was--that was the best question. Mostly they all seemed distracted and stressed. Make sure to sell yourself if this happens! Or ask them if they have questions about your resume. I don't think they had time to read mine.   ",No Offer,Negative Experience,Easy Interview,,Apple
 Data structures and basic algorithms.   ,No Offer,Negative Experience,Average Interview,"The recruiter reached out via email, phone screen, coding, and systems interview. The coding interview had a modification on it and the interview did not seem to understand the subject.",Apple
" write a minimum stack which supports push(), pop(), get_min() all in time complexity O(1).   ",Accepted Offer,Neutral Experience,Average Interview,,Apple
 how to reduce damping in a part and assy   ,No Offer,Negative Experience,Average Interview,,Apple
 Tell me a situation when you have a conflict with your boss?   ,Declined Offer,Neutral Experience,Difficult Interview,,Apple
 Tell me of a time. Make sure they read your resume!   ,No Offer,Negative Experience,Easy Interview,Ghosted after interview. First had HR call to tell about position. Then after many emails got a one day interview with 6 different people. Nobody seemed prepared and they were all stressed and all over the world.,Apple
,No Offer,Neutral Experience,Difficult Interview,"Applied on Apple’s website, was contacted by an HR rep, had a phone screening with them, then a 1:1 with a manager. Received an email within 24 hours from the HR rep letting me know I wasn’t advancing.",Apple
,No Offer,Neutral Experience,Average Interview,,Apple
 Why Apple? Why do you want to work as a Sales Associate.   ,Accepted Offer,Positive Experience,Average Interview,,Apple
 What is one difficult issue you have had to solve and how did you solve it?   ,No Offer,Positive Experience,,"Applied online and received an invitation to interview shortly after. The interview was in a group format, and was essentially a discussion in which we would take turns answering questions.",Apple
 Does any body get homework assignment for apple maps?   ,No Offer,Neutral Experience,Easy Interview,"General telephonic interview process. asked about my past work , roles and responsibilities. Technologies I worked on.Experience on postgresql and GIS FME. Does any body get homework assignment for apple maps?",Apple
,Accepted Offer,Positive Experience,Difficult Interview,,Apple
 Tell us about your experience working with a large engineering team:   ,No Offer,Neutral Experience,Average Interview,"The interview process took a total of about 3 weeks. A recruiter reached out to me on LinkedIn about a role and then set up an initial call. Next, I had an interview with the team's Design Manager. The final onsite was virtual due to COVID-19, but consisted of a 1-hour portfolio presentation with the whole team and then four 2 on 1 interviews and a 1 on 1 with the Design Manager. These video calls were split up over two consecutive days (Thursday and Friday). I thought the interviews went really well! On Monday morning, the recruiter emailed me to ask if I had time to chat. She then waited to call me until 6:30pm (she was 30 minutes late) to tell me that the team decided to go with someone internal because it would be faster to get them up to speed. I was very sad and frustrated at this point because A) the recruiter waited all day to give me bad news, B) she was late to that call where I was sitting staring at my phone waiting, and C) they ended up giving the job to someone who already had a job AND already worked at Apple. As someone who was impacted by the pandemic and lost my job in May, I was disappointed by this. Why bother interviewing external people if you are just going to hire someone from another internal team? I love Apple as a company and talked to a lot of really smart and interesting people, but this definitely hampered my opinion of them a bit.",Apple
 Synthesis process   ,No Offer,Neutral Experience,Difficult Interview,,Apple
,No Offer,Neutral Experience,Average Interview,,Apple
 Describe how you would design a process?   ,No Offer,Negative Experience,Average Interview,,Apple
,No Offer,Neutral Experience,Average Interview,,Apple
 Can you show us a project that had (a particular specialty/intent) behind it?   ,No Offer,Positive Experience,Easy Interview,"Virtual interview with three members of the design team. All interviewers were friendly, and the interview itself was very casual. We wend through my online portfolio and they requested that I walk theme through the thought process behind a handful of projects. They were looking for an individual wit ha lot of versatility.",Apple
