interview,question,offer,target_variable,difficulty,source,length
1 phone and then 1 video interview with 2 people. The interview process and length itself was good but after 2 rounds I was ghosted by a recruiter and was sent an auto rejection email with no feedback. Not how the candidate experience should go, Tell me about a time you had to give feedback that was hard to give   ,No Offer,0,Easy Interview,walmart,244
Applied online and got called a week later. Manager told me if I was available for a in person interview. I showed up and had a un person interview on the spot.,,Accepted Offer,0,Easy Interview,walmart,160
"Went in for interview at Neighborhood Walmart store, manager did not care about mask policy (had mask hanging from neck most of the interview) , generally didn't care about interview. Looked like they needed bodies ASAP. Told me rate, no drug test, just background check, and to work within 3 days (basically as soon as the background check cleared, I'd be scheduled.", What are your expectations? Do you have any questions for me? How can you help me and my store?   ,Declined Offer,0,Easy Interview,walmart,367
"Had to go through a month of interviews. First a phone interview, then in person, and then zoom. Zoom call had around seven people from different parts of the Walmart corporation.", What motivated you to apply for this job?   ,No Offer,0,Average Interview,walmart,179
no interview was made as temp if you showed up for orientation you got the job. the gave you an offer letter after you applied online and submitted your work availability, no questions asked online application process   ,Accepted Offer,0,Easy Interview,walmart,170
"Walked in and was given a job, but was not the job I originally came in for. Joe from Bay Pines Walmart has only gotten worse since coaxing me into the position", They did not get to ask any   ,Accepted Offer,0,Easy Interview,walmart,160
"I put in an application in October 2019 stating I could only work weekends. Since school is going to be out I changed my availability to open on March 29, 2020, for every single day. I got a call the next day to come in for an interview. I waited about 10 minutes for a 30-second interview. She just told me that she didn't have any availability for me. I honestly think she could've looked at my application and told me that over the phone instead of wasting my time! But hey, its Walmart I expected nothing more. Everyone knows Walmart is forever on their BS!",,No Offer,0,Easy Interview,walmart,561
"I didn’t even get interviewed, we just walked around the facility and she said expect a call in two weeks. They didn’t call me, so I call them and they’re like “We tried to call you, your phone must have been dead.” I went and looked at my call history, they never called me. Long story short, I got into onboarding a month late because of this.",,Accepted Offer,0,Easy Interview,walmart,345
I cleared L1 round and attended L2 round. This happened via zoom meeting due to the pandemic. The interview went mostly well and the interviewer gave me a positive feedback. After the interview - HR didn't respond to my calls/e-mails for about a month after which I gave up waiting for a feedback. Overall a very bad experience for me interviewing with Walmart, regular questions related to everyday scrum master work and behavioural questions   ,No Offer,0,Easy Interview,walmart,360
The interview when fast and I didn't receive any news from Walmart since the interview. The interviewer was not very nice and didn't pay attention when I answered the question., How did you describe the SVM model?   ,No Offer,0,Average Interview,walmart,176
"Got a call from recruiter.... after that never heard back, after weeks i connect with hiring team.. calling every week but still no response every time same answer..In the process.", Asking about your resume and experience   ,No Offer,0,Easy Interview,walmart,180
