interview,question,offer,target_variable,difficulty,source,length
Poorly designed; implementation heavy but not intellectually challenging and time was very limited. Also recorded camera and screen which is not great at all and sends a bad message about the company hiring policies, Coding assessment on code signal   ,No Offer,0,Average Interview,ebay,215
"Did a code signal assessment. It was about basic array manipulation and 2d array manipulation. Hardest was question 3. It also assesses the time you take. If you finished it quicker, you get more points which I did not know", Did not get to the interview section   ,No Offer,0,,ebay,223
"Recruiter reached out to setup TPS. I believe I did pretty well in the TPS and interviewer looked satisfied with the solution, But like others have experienced here, the recruiter reached out the same evening saying hiring manager has decided to move forward with the other candidate. It did not make any sense, waste of 45 minutes. Most likely they are just setting up interviews for H1B / labor certifications. Stay away from interviewing at eBay", Leet code 'medium' category problem   ,No Offer,0,Easy Interview,ebay,448
"Contacted by HR. Then followed by a technical interview. Went pretty well on the technical interview. Even the interview said he hopes to see me in the future at the end. But only to get a rejection saying they chose other candidates on the same day of the technical interview. Completely surprise and a waste of time. If they already know my background does not match, why bothered set up a tech screen? But I never wanted to go to a company that is going down the decade anyway...", Design some ebay API + coding LC medium top 100   ,No Offer,0,Average Interview,ebay,482
Recruiter reached out to me via Indeed and never responded back. I was excited to have someone reach out to me during this pandemic after losing my previous job from the virus. I have sent the eBay recruiter several messages with no response even though I immediately responded back to her when she asked if I was interested. My word of advice during this pandemic is don’t give people false hope and at least respond that the position isn’t available anymore or there was a misunderstanding. Do better next time.," You look like a good candidate for this position, please confirm your interest so we can set up a time to chat.   ",No Offer,0,Difficult Interview,ebay,513
The hiring process is too shabby and very slow. I got a call from the recruiter to schedule a telephonic interview and. after that I got a mail to schedule the full panel interview consisting of 5 rounds. It has been 2 weeks and I haven't got a reply and the recruiter is ghosting me., LC medium   ,No Offer,0,Average Interview,ebay,284
"Hiring manager and interview panel were great. However, the recruiting team is a mess. The recruiter sold me a completely different role in the hiring screen. Fortunately the hiring manager clarified and it still seemed like a good fit so I continued with the process. Mid-process, I was scheduled for the wrong set of interviews and then the coordinators kept trying to reschedule me last minute. It was such an exhausting process back and forth with recruiting and definitely put a damper on the role.",,Declined Offer,0,,ebay,503
"I applied online. Over the next few weeks I had multiple phone/Zoom interviews with staff members in Utah and California. The recruiters running the process were extremely disorganized, changing the multi-part interview the day of and not apprising me as the interviewee. Following this, there was no contact at all from eBay; thus, at multiple parts of the interview process there was unprofessional behavior from eBay.", Some SQL questions. There was no indication any part of the interview(s) would be a technical assessment. There were also very cliche questions from a staff member who would be the analyst's colleague.   ,No Offer,0,Average Interview,ebay,420
"The recruiter reached out to me via email asking to schedule an initial phone interview with the Hiring Manager. I submitted my availability and she was quick in scheduling the call. On the day of the interview, the Hiring Manager showed up on video and was casually asked me to wait while he was texting for a good 10 mins. It seemed like he was not prepared and was seeing my resume for the first time. He asked random questions about my experience. Overall, It was a very disappointing interview experience. The interviewer was yawing, using his phone all the time and was not paying attention.", How do you consider yourself an Agile Coach?   ,No Offer,0,Average Interview,ebay,597
"I interviewed for ebay in May, 2020. First, there was a phone screening with a junior engineer in the team. After that I scheduled virtual 5 round coderpad interview. there was just half an hour break in between. The interview was average difficulty and questions were from java, data structures and threads in particular. I did not like that manager had shortlisted my resume and during interview after looking at my resume he said that my experience doesn't align to the job. I was shocked. Thank you for wasting my time!",,No Offer,0,Average Interview,ebay,523
"One way interviews are no way to actually figure out how well someone would perform for any company. 3 separate interviews, never once spoke to anyone. More than qualified applicants (more than just me!) were turned down for whatever reason.", “Why would working from home be difficult for you?”   ,No Offer,0,Difficult Interview,ebay,241
"I had first round which was a coding interview, there was only one question. The first round was a phone screen technical interview, which was about 90 min long. The interviewer was not much of help during the interview, had no idea what was going on while I was coding.", The question was a medium level heap question.   ,No Offer,0,Average Interview,ebay,270
I had gone through 3 rounds of interview. First round was meeting with hiring manager and manager from another team. It was a casual 1 hour chat. Next round I needed to meet with 9 managers/sr. managers from different team (3 interviewers in each setting) for 3 hours. My final round was to meet with VP and Senior director of tax., Why do you want to leave public accounting?   ,No Offer,0,Average Interview,ebay,331
"I believed, I was used only to justify hiring an internal candidate (most likely H1-B). The interview went well, both technically and personally, except the recruiters messed up the interview process so some interviewers were not available. Instead of finishing it, they just emailed me, that they decided on an internal candidate, even though they liked me. I resubmitted my resume for other job positions which were subsequent ignored, even though another recruiter talked to me and after learning of what happened, never called back. My interview went well enough, that the entire process seemed strange, like they were covering up the fact I was being used and they had to cover it up. I would not recommend taking time off, only to be treated in what seem like a biased interview process that might technically be a violation of EOE.", Process flow question and caching   ,No Offer,0,Average Interview,ebay,838
"Was invited to interview via email and provided a list of times I was available. After providing a list of times, I had to follow up to get something scheduled. The recruiter selected a time for a phone interview, and I confirmed. The recruiter then failed to call at the given time. I sent an email, then another, then another. I was completely ghosted and devalued as a human being.", None. Interviewer did not show up   ,No Offer,0,,ebay,384
Initial phone screening followed by phone interview with the hiring manager and then onsite interviews. After your onsite interviews (4-5 in total) you have one last call with the head of the department. Brutal process and takes longer than expected, Is ebay responsible for claims filed by a buyer regarding an issue with merchandise?   ,No Offer,0,Difficult Interview,ebay,249
"Months after applying, I got a call for an interview. The manager was late for the call, seemed disinterested. Tried to engage the interviewer as much as I could, to no point.. Employees seem unhappy. There are quite a few changes in leadership so opinion on company culture is shifting.", Q: How do you identify market development factors?   ,Accepted Offer,0,Average Interview,ebay,287
The recruiter asks about academic projects on my resume first. Then he gives me an algorithm problem. The whole phone interview last 45 minutes. I only have 20 minutes to solve the problem and the recruiter wasn't even listening to my elaborating of the thinking process.,,No Offer,0,Difficult Interview,ebay,271
"got a call from eBay recruiter, then had a technical phone interview which was the worst ever. He kept asking me stuff that don't exist in real programming language to confuse me. Asked me stuff that I have never heard of... extremely unpractical questions. Coding test was pretty easy though.",,No Offer,0,Difficult Interview,ebay,293
