question,offer,experience,difficulty,interview,source
 What’s your approach or method for defining user journeys?   ,Accepted Offer,Positive Experience,,,wellsfargo
 Tell me about a time you succeeded in the face of challenges.   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Describe a time when you had to implement an initiative that was not popular.   ,No Offer,Positive Experience,Average Interview,,wellsfargo
 Describe a time you had to handle a difficult customer.   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
" Tell me a time you were in a difficult situation, and how did you overcome it?   ",Accepted Offer,Positive Experience,Easy Interview,,wellsfargo
 How would you value your favorite hotel?   ,No Offer,Positive Experience,Easy Interview,"First round interview was pretty simple. Just asked some basic behavioral questions. The technical question were limited to valuation of properties: what types of valuation would you do, what kind of information would you consider, etc.",wellsfargo
 How do you prioritize assignments?   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Your biggest weakness is what?   ,Accepted Offer,Positive Experience,Easy Interview,This internship was a very good experience. During COVID it was especially cool to see how a big bank such as Wells handled the pandemic. I would say it is a fast paced place changing quickly.,wellsfargo
 What was my experience working within the banking field.   ,Accepted Offer,Negative Experience,Average Interview,"This interview was unfair, biased, and unprofessional. People were dressed in Dickies outfits. It seemed like some people were uninterested. They hired me because they were in dire need. I did not even have any experience.",wellsfargo
 Give an example of a time you persuaded a customer to purchase a product   ,Accepted Offer,Positive Experience,Easy Interview,,wellsfargo
 Name a time when you had to make a difficult & unpopular decision.   ,Accepted Offer,Positive Experience,Average Interview,The interview was a behavioral interview held via phone. They asked 5 questions. There were 2 interviewers who were pleasant. The interview about was thirty minutes. I heard back about a week after the interview.,wellsfargo
 When was a moment you took initiative on a technology related problem amongst your project.   ,Accepted Offer,Positive Experience,Easy Interview,Phone interview was completely behavioral just to guage if you will move forward to the in person interview. A few days later got the in person interview which included pretty straightforward behavioral questions along with discussions regarding items on resume. We discussed projects completed on the resume as well as basic questions on the technology stacks,wellsfargo
 They asked about previous experience and what languages I knew. No practical questions or tests.   ,No Offer,Negative Experience,Average Interview,A bit intimidating but was reasonable. They seemed dismissive and falsely polite at the ennd. The interview room was too open and has someone watching uus but not asking questions.,wellsfargo
 Tell me about yourself   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Why do you want to work here   ,Accepted Offer,Positive Experience,Average Interview,,wellsfargo
 Tell me about a time that you provided great customer service.   ,Accepted Offer,Positive Experience,Average Interview,"After the phone screening, interview was with two store employees, bank manager and banker. The questions were all about your customer service experience. The whole interview was about 20 minutes.",wellsfargo
 Tell me about a time you were working in a group and things didn't go your way.   ,Accepted Offer,Positive Experience,Easy Interview,"JLC Conference with different departments selected to interview with and all questions were behavioral for the divisions I interviewed with. I had a really positive experience especially considering they were all in-person interviews, which can sometimes be difficult.",wellsfargo
 What was your favorite course so far?   ,No Offer,Neutral Experience,Average Interview,,wellsfargo
 How would you prioritize your caseload of loan applications?   ,Accepted Offer,Positive Experience,,,wellsfargo
" If you were on the cover of the New York Times in 30 years, what would the title be   ",No Offer,Positive Experience,Average Interview,"30 minute interview, was mostly just basic introductory questions, but did ask a few questions about market interest rates. 2 people interviewed me together, one of which was a recent college graduate.",wellsfargo
 Howling was role held for position.   ,Accepted Offer,Positive Experience,Easy Interview,,wellsfargo
,Accepted Offer,Positive Experience,Easy Interview,The process was very simple and smooth. There was only a 30 minute behavioral interview over video with two technical employees. I received an offer very quickly -- about 2 business days later.,wellsfargo
 What should you look at before investing in a company?   ,No Offer,Neutral Experience,Easy Interview,I had a 30 minute phone call with a director in underwriting and was asked behavioral questions. Emailed the recruiter two weeks later for an update and never heard back.,wellsfargo
 ask about the 3 financial reports   ,Declined Offer,Neutral Experience,Average Interview,"3 interviews, each one progressively getting more in depth, the first two were over the phone and the final one was in person, although Covid was an issue so I bet in the future all of the interviewing is either done over the phone or on zoom.",wellsfargo
