question,offer,interview,experience,difficulty,source
 None   ,Accepted Offer,,,,Facebook
"PLEASE DON'T TAKE THE PHONE SCREENING LIGHTLY! I did and got rejected. I was expecting SQL questions and in general talk about my resume but she asked me a question on product sense and I was completely unprepared for it. Creation of Facebook user groups has gone down by 20%, what will you do? sounds simple but I messed it up so badly. I was just blabbering anything in an",No Offer,A recruiter contacted me over email and set up a phone interview for the following week for a 15-minute call. I guess next round would have been with a hiring manager,Positive Experience,,Facebook
,No Offer,,Positive Experience,Average Interview,Facebook
,Accepted Offer,,Positive Experience,Difficult Interview,Facebook
 I signed an NDA and I also can’t really remember.   ,No Offer,,Neutral Experience,Difficult Interview,Facebook
 Find the K most frequent elements in an array   ,No Offer,First assessment then phone interview took place. It was kind of tricky but very doable. I liked the process it seemed friendly. I was sent an email then schedule for the phone interview. This is just the first round on bluejeans.,Positive Experience,Easy Interview,Facebook
" Basic array and matrix sorting problems, some architectural questions   ",No Offer,,Positive Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Easy Interview,Facebook
,No Offer,,Neutral Experience,Difficult Interview,Facebook
" Given a database of userIds mapped to lists of names, group the names of people who have duplicate accounts (this is a graph problem, lol)   ",No Offer,,Positive Experience,Average Interview,Facebook
 Behavioral and System Design Interview questions covering wide areas.   ,No Offer,,Negative Experience,Average Interview,Facebook
 The question about string manipulation and find the subsets of target string inside main string.   ,No Offer,Asked to introduce yourself for 5 min and started coding question. The question about string manipulation and find the subsets of target string inside main string. The question about string manipulation and find the subsets of target string inside main string.,Positive Experience,Average Interview,Facebook
 Basic data structure and sql statement at a very high level short answers   ,No Offer,,Positive Experience,Average Interview,Facebook
" The question gave me 2 arrays with sorted intervals, and I was supposed to output an array with the overlapping intervals merged together.   ",No Offer,"This interview was a technical phone interview. I sat with my interviewer on a video call and was asked to answer 1-2 questions. I was able to answer the 1st question brute force, but ran out of time when I was optimizing.",Neutral Experience,Difficult Interview,Facebook
 I was asked to describe a team that I worked on where there was a conflict I helped resolve.   ,No Offer,,Positive Experience,Difficult Interview,Facebook
 One tree problem and one array problem   ,No Offer,Started with a brief introduction and asking any questions. The interviewer wanted most of the 45 minutes to be allocated to the problem. Interviewer was helpful with clarifying the questions and leading me to the right direction when I was stuck.,Neutral Experience,Average Interview,Facebook
" There were 2 coding questions. We spent 30 minutes on the first question, and the rest of the time on another question which I didn't finish.   ",No Offer,,Neutral Experience,Easy Interview,Facebook
 check if a string is a palindrome   ,No Offer,,Positive Experience,Average Interview,Facebook
" When the PC is turned on for the first time, what packet is seen on wireshark?   ",No Offer,"It was a 45 mins interview, I was asked about my past job experience and one coding questions. The whole process was smooth and was a great experience. A detailed description of the job was given prior to the interview, which made things clear about which topics I would be asked",Neutral Experience,Average Interview,Facebook
 What is the difference between var and const?   ,No Offer,,Positive Experience,Easy Interview,Facebook
" I can not reveal specifics, but my questions focused heavily on trees   ",Accepted Offer,,Positive Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Difficult Interview,Facebook
 They asked a 2D Matrix related question   ,No Offer,,Neutral Experience,Difficult Interview,Facebook
" arrays, linked lists, and hashmaps are all good to know. nothing beyond LeetCode medium.   ",Accepted Offer,,Neutral Experience,Average Interview,Facebook
 what sets you apart from other applicants.   ,No Offer,,Positive Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Easy Interview,Facebook
" Roman Numerals to Integers, Binary Search Modified, and Binary Tree   ",No Offer,"It was a smooth, typical coding interview where you had a Leetcode-esque style question and were asked to whiteboard your solution. Syntax didn't matter as much as the thought process of the solution. Two rounds, one hard and two mediums",Positive Experience,Average Interview,Facebook
" Given two arrays, write a function to compute their intersection.   ",No Offer,,Positive Experience,Difficult Interview,Facebook
 one string and one graph   ,Accepted Offer,,Positive Experience,,Facebook
,Accepted Offer,,Neutral Experience,Difficult Interview,Facebook
 exactly what you would expect   ,Accepted Offer,,Positive Experience,Average Interview,Facebook
" Mix of technical and behavorial. Verilog basics, RTL, STA, etc.   ",No Offer,"Initial Screen and then onsite with 5 interviews. Phone screen was technical where they asked some Verilog questions. Onsite was had past experiences, behavioral and technical. The technical used a whiteboard with verilog coding questions.",Neutral Experience,Difficult Interview,Facebook
 One question they asked me was how to find out if a list was a cycle in O(n) time   ,Accepted Offer,,Positive Experience,Average Interview,Facebook
" Sourcing, candidate experience, metrics, collaboration   ",No Offer,,Negative Experience,Difficult Interview,Facebook
 Leetcode medium question on graphs   ,No Offer,,Positive Experience,Average Interview,Facebook
 There was no interview questions   ,No Offer,My experience was strange. I had originally applied to 2 different open positions unrelated to PM. A few days later I received an email from a recruiter wanting to schedule a phone call with me. Fast forward to that day the recruiter never called and didn’t send an email mentioning anything changing. I then emailed them to ask about it but never received a reply back that whole day. Not sure what could have happened but I take it as highly unprofessional!,Negative Experience,,Facebook
,Declined Offer,,Negative Experience,Average Interview,Facebook
" Given a set of points and a start point, find the n nearest points.   ",Accepted Offer,,Positive Experience,Average Interview,Facebook
 implement a sparse matrix class   ,No Offer,,Positive Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Average Interview,Facebook
 45 minutes and two coding challenges. One medium and one easy coding questions.   ,No Offer,Contacted by a recruiter on a campus event. We have chatted on-campus open house and a week later I got a hello email from the recruiter who I have talked that day. The interview happened about three weeks laster.,Positive Experience,Average Interview,Facebook
" 2 leetcode easies, 2 leetcode mediums (Codesignal)   ",No Offer,"Custom Facebook coding challenge on CodeSignal, and a guaranteed first round phone interview too. CodeSignal Questions were on par with typical CodeSignal challenges, and the challenge had to be taken before the first round interview.",Positive Experience,Average Interview,Facebook
 Describe one project that you have done in the past.   ,No Offer,,Neutral Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Easy Interview,Facebook
" What's your favorite FB product, and what would you improve about it   ",No Offer,,Positive Experience,Average Interview,Facebook
,No Offer,,Positive Experience,Average Interview,Facebook
 A technical question on sorting an array given an alphabet.   ,No Offer,"First round interview consisted of less than a few minutes of chatting, followed by a good explanation of what was to come. We were trying to get through 2 questions but I only got through one. Interviewer was really helpful throughout the process.",Positive Experience,Average Interview,Facebook
 Phone interview: return the index of the first anagram of x contained in y (example: first anagram of aab in cbaaba = index 1)   ,No Offer,"First I received CodeSignal online assessment (4 questions, given about an hour of time) and then did a phone technical interview in which I was asked to write a specific function (LeetCode style)",Positive Experience,Average Interview,Facebook
 A table with posts and a table with reactions to posts. Find the avg number of likes per post for the past 28 days.   ,No Offer,,Neutral Experience,Average Interview,Facebook
" Coding problems based on binary search, hashmap, and file reading.   ",Accepted Offer,"Two rounds of 45-mins coding and 5mins Q&A. After that, there would a team matching process. Hopefully, this would help. It was important to have an active conversation.",Positive Experience,Average Interview,Facebook
 Asked coding questions under time constraint   ,No Offer,First round is technical interview and you have to do a timed test on CodeSignal. Difficulty varies from leetcode medium to hard. Prepare for this by grinding leetcode and getting to know some algorithms,Neutral Experience,Difficult Interview,Facebook
,No Offer,"Applied with a referral. Received a hello from Facebook email in two weeks, was asked to complete a coding assessment, and schedule an interview. OA takes 70 minutes and the interview takes 45 minutes. We get to have 7 days to choose when to take OA, and the interview must happen after the oa",Positive Experience,Difficult Interview,Facebook
