question,offer,experience,difficulty,interview,source
 None.   ,Accepted Offer,Positive Experience,Difficult Interview,,Google
 As above...   ,No Offer,Positive Experience,Easy Interview,,Google
" Tell me about yourself, why do you want work here?   ",No Offer,Neutral Experience,Average Interview,,Google
,No Offer,Negative Experience,,"I never write any reviews for interviews. However I felt compelled to do so after speaking to a lady from my current job that had an almost similar experience. From initial application to interview it took about 3 months. I thought I would share my experience since hopefully Google reads this. The men that interviewed me where all of similar ethnicity/race. My first interviewer refused to shake my hand (pre-covid). After that I was mature enough to immediately know it was not going to go well. The next interviewers asked me question, which i responded to well, that were above the scope of the role. I could almost see they were frustrated by my responses whatever they may be. Honestly I really just wanted to get out and was thinking of excuses, but I stayed because I am an adult and was not going to immaturely walk out (although I was obviously being discriminated for either my race, sex, or who knows what else). There are probably a lot of groups where this crap happens, but am hopeful with a company this big that some sort of massive leadership changes occur. Right now I don’t ever want to apply again at Google and go through this. It’s a waste of everyone’s time. They should just put a sign up no X or Y and Z allowed inside so at least we all save ourselves some time.",Google
 Asked to invert a binary tree.   ,No Offer,Positive Experience,Difficult Interview,,Google
 The phone screen was a dynamic programming question that was very unorthodox. I had never seen a problem like that before and it was some what difficult without ever going through that thought process.   ,No Offer,Positive Experience,Difficult Interview,,Google
 print out a block of text as given   ,Accepted Offer,Positive Experience,Easy Interview,,Google
 Matrix and algorithms manipulation question   ,No Offer,Positive Experience,Average Interview,"First it was two coding challenges using an online editor. After that, two phone interviews of 1 hour length each. Each call consisted of one coding problem of medium difficulty",Google
,No Offer,Negative Experience,Difficult Interview,,Google
,No Offer,Neutral Experience,Average Interview,"I was a fresh graduate. Had a phone interview with the director. He introduced the research work of their team, went through my resume, and let me explain some of my research work. Then he asked some algorithms in image processing and computer vision and some questions about C++ programming. It took about 45 minutes.",Google
 How would I balance engineering limitations with customer requirements?   ,No Offer,Positive Experience,Average Interview,"It went Pretty smooth. Initial interview was with HR. The next interview was split in 3 sections with different teams, including managers and engineers. Everyone was respectful and had insightful questions.",Google
 Q: Give us the 30 -60 second description of work to add to resume   ,Accepted Offer,Positive Experience,Average Interview,,Google
" Standard product, technical, analytical questions. They aren't hard if you (a) know your stuff and (b) know what they are looking for. You you are good with above then the issues usually to do with subjectivity in the process/person you get the day of interview.   ",Declined Offer,Positive Experience,Average Interview,Recruiter was great and the process was fine. The part where there needs to be more clarity is on how they decide levels. What are they evaluating for at the different levels and how do they decide level for the offer.,Google
 1. Implement a basic autocomplete function for search.   ,No Offer,Positive Experience,Difficult Interview,,Google
 Basic programming questions can be solved using BFS.   ,No Offer,Positive Experience,Average Interview,,Google
 how many golf balls in this airplane   ,Declined Offer,Positive Experience,Easy Interview,it was tough i didnt like it and i dont want to take the job im sorry this isnt more helpful but it wasnt good and i dont want it,Google
 Medium/ Hard array question and then an easy graph question   ,Declined Offer,Positive Experience,Average Interview,Took the Online Assessment and contacted for interview after passing all the test cases. The next step was two back to back interviews with engineers. It takes two to five weeks to hear after that. The next step is matching process which a few are guaranteed to be matched when given a offer.,Google
