question,offer,experience,difficulty,interview,source
 What is your favorite piece of technology?   ,No Offer,Negative Experience,Average Interview,,Microsoft
" Describe you experience with x, y, z...   ",No Offer,Neutral Experience,Average Interview,"Applied to the role and was asked to fill out a survey of my skills. Set up a phone interview that was rescheduled by them literally last minute. Interviewer was nice, no behavioral/technical questions but it was just them basically repeating the survey and retyping my answers. Redescribed my experiences using all the tech in the job posting and said info will be passed to hiring manager. It was also clear they did not look at my resume whatsoever, by asking if I have experience with the technology when all my projects use it. Over in less than 10 minutes, hour later rejection email. I assume it's because of my lack of 1 yr experience. Was this not an entry level role? Seriously, why bothering going through the whole process in the first place. Disappointing",Microsoft
,No Offer,Negative Experience,Average Interview,,Microsoft
 What is your greatest strength?   ,Declined Offer,Positive Experience,Average Interview,,Microsoft
" Signed NDA. Prepare as you'd normally would for this role: whiteboarding, behavioral Q's, understand products etc.   ",No Offer,Negative Experience,Easy Interview,,Microsoft
,Accepted Offer,Positive Experience,Average Interview,"It is ok. All practical questions, no tricks. Write small functions and sql statement, most of them are scenarios will be used in real work. Keep talking about your thoughts, those count too. There are also design questions, they are looking for your design principles, consider performance and extensibility.",Microsoft
 Why do you want to work for Microsoft?   ,No Offer,Positive Experience,Average Interview,,Microsoft
 They asked the equivalent leet code easy/medium questions.   ,Accepted Offer,Neutral Experience,Easy Interview,,Microsoft
 How would you approach migrating servers   ,No Offer,Neutral Experience,Average Interview,"Interview process was very simple and clean. Had the interview with HR, then a long interview with 3-4 different people. My only issue was they did not inform me about decisions quickly. I had to refresh the site for a month to find out i was not selected.",Microsoft
" Graphs, 2D Matrix, String manipulation   ",No Offer,Positive Experience,Average Interview,,Microsoft
 Can't disclose but interviewer worked with me to figure out an answer when I had no idea   ,Accepted Offer,Positive Experience,Difficult Interview,,Microsoft
 Tell me something about yourself   ,Accepted Offer,Neutral Experience,Easy Interview,,Microsoft
" Arrays, implement some functions, go over resume   ",Accepted Offer,Positive Experience,Average Interview,,Microsoft
 Signed an NDA so I cannot disclose   ,No Offer,Positive Experience,Easy Interview,,Microsoft
,No Offer,Positive Experience,Easy Interview,,Microsoft
 Machine Learning basic concepts plus several leetcode problems.   ,Accepted Offer,Positive Experience,Average Interview,,Microsoft
 How will cloud help companies find oil cheaper and faster?   ,No Offer,Neutral Experience,Average Interview,,Microsoft
 What will you invest if you have $100 million?   ,No Offer,Positive Experience,Average Interview,"The first one is HR behavior questions, about 30 minutes. The last round is the super day interview, four 45 minutes interview. All questions are most behavior questions. Just prepare well for that.",Microsoft
 what is good code and better code   ,No Offer,Positive Experience,Easy Interview,,Microsoft
 How do you keep up with the latest news on technology?   ,No Offer,Neutral Experience,Average Interview,,Microsoft
