question,offer,target_variable,difficulty,interview,source,length,text
 What do you enjoy the most about working with developers?   ,Declined Offer,1,Average Interview,"Recruiter sent an InMail to me on LinkedIn outlining that my past experience at a top software company attracted them to my profile. We had an initial discussion about the opportunity, including the challenges they perceived. In the end, I was not interested in relocating to the headquarter office and declined to proceed in the interview process.",Tiktok,348,sent inmail linkedin outlining past experience top software company attracted profile initial discussion opportunity including challenge perceived end not interested relocating headquarter office declined proceed
 two sum. and reverse linked list   ,No Offer,0,Average Interview,begins by self introduction. The team organization. The project they are focusing. Then it ask the state of the art model details. And ask your thoughts about the state-of-the art model. Then ask current state-of-the-art model extensions. Then ask you to compare several state-of-the-art model. Ask a coding question in the end. Ask follow up coding question.,Tiktok,359,begin self introduction team organization project focusing state art model detail thought state art model current state art model extension compare several state art model coding end follow coding
,Declined Offer,1,Easy Interview,It wasn't well organized. The HR specialist only communicated the timings of the interview through WhatsApp and emails but she never answered any of my questions about the role or who will I be talking with in the interview.,Tiktok,224,well organized hr specialist communicated timing whatsapp email never answered role talking
 So.... Tell me about yourself   ,No Offer,0,Average Interview,The mess that the interview was makes me wonder how much they really have their stuff together under the current spotlight. No preparation or enthusiasm. I could tell I wasn't a serious candidate 5 minutes into the interview.,Tiktok,225,mess make wonder much really stuff together current spotlight preparation enthusiasm could tell serious candidate minute
 Why are you interested in TikTok?   ,No Offer,1,Easy Interview,"The interview was very professional and straightforward. They asked basic questions. It helps if you are really familiar with TikTok and have used it, as well as other apps in the space.",Tiktok,186,professional straightforward asked basic help really familiar tiktok used well apps space
,No Offer,0,Difficult Interview,I interviewed with TikTok in August 2020. I applied online and was contacted by the recruiter for the first technical round which was through Zoom and used an online coding platform. I was given LC hard. I didn't get the next round.,Tiktok,232,interviewed tiktok august applied online contacted first technical zoom used online coding platform given lc hard get next
 What was your Favorite tiktok ad   ,No Offer,0,Difficult Interview,"One screener, one boss, 3 random selections that your future boss selects, one in Beijing which you interview in the evening for and the others are US based, make it seem like political environment is a non issue",Tiktok,212,screener bos random selection future bos selects beijing evening others based make seem like political environment non issue
 Leetcode medium (sort of on the easy side)   ,No Offer,0,Average Interview,"Basic introduction, past work experiences, challenges, proud project, coding problem and sql. Leetcode medium is the level of difficulty and sql not so sure. Interviewers are from China and had thick accents so a bit tough to understand",Tiktok,236,basic introduction past work experience challenge proud project coding problem sql leetcode medium level difficulty sql not sure china thick accent bit tough understand
,No Offer,0,Average Interview,"My interviewer showed up on time on the video call, and we started with a problem on a coding site I had never used before. It was pretty clunky. He was interviewing me from China, night for me over in California. I confirmed with him that I understood the problem, but there were lots of gotchas with the half-assembled coding environment that made debugging hard. A lot of time was spent talking out my solution, and we're getting toward the end of the interview, and he reveals to me that I'm solving the wrong problem. At first I hadn't even seen the problem description, and when I did, I just glanced at it really quick, and confirmed with him that I understood it. 40 minutes into the interview, I realize that I was doing the wrong problem. Every time I asked him if I understood it correctly, he said ""yes"". I quickly threw something together that looked good to me and him, but not the right answer. After being on the call for over an hour I called it. Apparently he's an Android developer who doesn't know Kotlin at all, so my code was foreign to him. No Android questions, nothing to do with my day-to-day as an Android developer, no Kotlin, just an algorithms question that wasn't even communicated. If I had slowed down, ignored everything he said, and just read and reread the prompt, I'd be in better shape. He was a really nice interviewer; I felt like he was in my corner. But he does not have enough English experience to truly answer any question in an interview. Because of this, I kept trying to understand him, and he would try to answer again, but I never really understood what he was saying. From the other Glassdoor interview reviews here, I had heard it was a bad experience. And it was bad, but I knew they didn't have it together going in to it, so it wasn't a letdown when it was a disaster. I was expecting it, but still wanted to put my best foot forward, as everyone's experience is unique. The experience was a valuable one, and it showed me how little TikTok cares.",Tiktok,2002,showed time video call started problem coding site never used pretty clunky interviewing china night california confirmed understood problem lot gotchas half assembled coding environment made debugging hard lot time spent talking solution getting toward end reveals solving wrong problem first even seen problem description glanced really quick confirmed understood minute realize wrong problem every time asked understood correctly said yes quickly threw something together looked good not right answer call hour called apparently android developer know kotlin code foreign android nothing day day android developer kotlin algorithm even communicated slowed ignored everything said read reread prompt better shape really nice felt like corner not enough english experience truly answer kept trying understand would try answer never really understood saying glassdoor review heard bad experience bad knew together going letdown disaster expecting still wanted put best foot forward everyone experience unique experience valuable showed little tiktok care
"She asked me about my management style in my current role and also what my favorite ad on TikTok was (which is a very strange question to ask). She did not ask me or give me an opportunity to review my previous experience, even though I had more than 12 years' worth to share. She finally told me to ask her questions, but brushed all of them off as ""I'm",No Offer,0,Difficult Interview,"One of the worst interviews I've ever been a part of in my long career in this industry. The talent partner I spoke with clearly had no desire to be on the call; she seemed bored, had no interest in getting to know me or understanding my background. She asked a few very quick, basic questions and it was clear that she was not actually interested or paying attention to my responses. The entire ""interview"" lasted less than 10 minutes and left a very poor impression of the company.",Tiktok,483,worst ever part long career industry talent partner spoke clearly desire call seemed bored interest getting know understanding background asked quick basic clear not actually interested paying attention response entire lasted le minute left poor impression company
