question,offer,target_variable,interview,difficulty,source,length,text
,No Offer,1,"Interview phone with HR, then with user, explaon about day to day task, whom I report to, their expectation. Process 1 week then I get confirmation that I didn't pass the process",Difficult Interview,Shopee,178,hr user explaon day day task report expectation week get confirmation pas
,Accepted Offer,1,"2 rounds of interviews, one with a PM on the team, the final with the PM team lead. Fast turnaround and interview timeline (I interviewed both times while I was visiting Singapore during a 2 week period). As an international (USA), working in SG required my approval for the Work Holiday Pass, which I got, but Covid meant that I could not travel to Singapore in time for the internship. S$1,200 salary + S$500 housing stipend for total of $1700 month, typical for SG internships I think",Average Interview,Shopee,487,pm team final pm team lead fast turnaround timeline interviewed time visiting singapore week period international usa working sg required approval work holiday pas got covid meant could not travel singapore time internship salary housing stipend total month typical sg internship think
 Why do you want to work in Singapore   ,No Offer,1,The recruiter is very nice and she will explain to you how the company views the most for this position. Phone interview is not difficult and then she directly gives me the chance for a 2nd round test interview. The test interview is about 1.5 hrs and the Python&SQL questions are very basic.,Average Interview,Shopee,292,nice explain company view position not difficult directly give chance nd test test hr python sql basic
 Self intro and go through resume projects.   ,No Offer,0,"Applied online, heard back within a month for a first round HR screening interview. Then I was asked to finish a timed Python/SQL test which was fairly easy. After passing the technical test, I interviewed with the Manager. He was the worst person I've ever interviewed with. Hopefully he rejected me, so that I don't have to work with him.",Average Interview,Shopee,340,applied online heard back within month first hr screening asked finish timed python sql test fairly easy passing technical test interviewed manager worst person ever interviewed hopefully rejected work
 What was challenging about your previous job?   ,No Offer,0,"The entire interview process was very disrespectful. They don't ask for your free time and simply give you a time. During the interview, they can be up to 30 minutes late! They don't seem to have much good things to say about the company too. A senior manager said work environment is very stressful.",Average Interview,Shopee,300,entire disrespectful free time simply give time minute late seem much good thing say company senior manager said work environment stressful
 Why do you want to work at Singapore.   ,No Offer,1,"The HR is nice and encouraging. Just to keep in mind when you schedule an interview with them, make sure to convert it to Singapore time. They will ask questions about your resume and Python, SQL experiences.",,Shopee,208,hr nice encouraging keep mind schedule make sure convert singapore time resume python sql experience
 Tell me about many basic Machine Learning models or algorithms.   ,Accepted Offer,1,"The process took place around 4 weeks with one OA, one HR phone screening, two video coding interviews, and one manager interview. The HRs who arranged the interviews are really responsive and responsible. The interviewers are very nice to talk to.",,Shopee,248,took place around week oa hr screening two video coding manager hr arranged really responsive responsible nice talk
,Accepted Offer,1,voice call from Singapore. Basically the interview is cv based. HR asked about my experiences in cv and my understanding of the position I applied to. Then she gave a short introduction of Shopee.,Easy Interview,Shopee,196,voice call singapore basically cv based hr asked experience cv understanding position applied gave short introduction shopee
 Why Shopee   ,No Offer,1,Phone interview followed by 2 other face to face interview. Interviewers were friendly and the whole interview was smooth. The HR personnel handled the whole process very professionally. Felt that this experience was a good one overall.,Average Interview,Shopee,236,followed face face friendly whole smooth hr personnel handled whole professionally felt experience good overall
 targeted 1 particular internship experiences   ,No Offer,0,"Tell me about yourself and your past work experiences, what do you know about this job and describe how you will handle a case, Explain what did you do in the internship and what is your understanding of product management. HR was inexperienced, skype interview, HR had strong accent had to ask her to repeat",Average Interview,Shopee,308,tell past work experience know job describe handle case explain internship understanding product management hr inexperienced skype hr strong accent repeat
