question,offer,experience,interview,difficulty,source
 respond to email if you submitted the exam   ,No Offer,Negative Experience,,,Shopee
,No Offer,Positive Experience,"Interview phone with HR, then with user, explaon about day to day task, whom I report to, their expectation. Process 1 week then I get confirmation that I didn't pass the process",Difficult Interview,Shopee
,Accepted Offer,Positive Experience,"2 rounds of interviews, one with a PM on the team, the final with the PM team lead. Fast turnaround and interview timeline (I interviewed both times while I was visiting Singapore during a 2 week period). As an international (USA), working in SG required my approval for the Work Holiday Pass, which I got, but Covid meant that I could not travel to Singapore in time for the internship. S$1,200 salary + S$500 housing stipend for total of $1700 month, typical for SG internships I think",Average Interview,Shopee
 Why do you want to be a product manager?   ,No Offer,Positive Experience,,,Shopee
" If you had to change one feature of the Shopee app, what would it be and why?   ",No Offer,Negative Experience,,Difficult Interview,Shopee
,No Offer,Neutral Experience,,Average Interview,Shopee
 Why do you want to work in Singapore   ,No Offer,Positive Experience,The recruiter is very nice and she will explain to you how the company views the most for this position. Phone interview is not difficult and then she directly gives me the chance for a 2nd round test interview. The test interview is about 1.5 hrs and the Python&SQL questions are very basic.,Average Interview,Shopee
" Your background, why Singapore...   ",Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Negative Experience,,Average Interview,Shopee
 What are your plans in helping leverage customer engagement in our platform?   ,Accepted Offer,Positive Experience,,,Shopee
 Self intro and go through resume projects.   ,No Offer,Negative Experience,"Applied online, heard back within a month for a first round HR screening interview. Then I was asked to finish a timed Python/SQL test which was fairly easy. After passing the technical test, I interviewed with the Manager. He was the worst person I've ever interviewed with. Hopefully he rejected me, so that I don't have to work with him.",Average Interview,Shopee
 What are your strength and weakness?   ,No Offer,Neutral Experience,,Average Interview,Shopee
 What was challenging about your previous job?   ,No Offer,Negative Experience,"The entire interview process was very disrespectful. They don't ask for your free time and simply give you a time. During the interview, they can be up to 30 minutes late! They don't seem to have much good things to say about the company too. A senior manager said work environment is very stressful.",Average Interview,Shopee
 Why do you want to work at Singapore.   ,No Offer,Positive Experience,"The HR is nice and encouraging. Just to keep in mind when you schedule an interview with them, make sure to convert it to Singapore time. They will ask questions about your resume and Python, SQL experiences.",,Shopee
 What do you know about shopee?   ,No Offer,Positive Experience,,Average Interview,Shopee
 Tell me about many basic Machine Learning models or algorithms.   ,Accepted Offer,Positive Experience,"The process took place around 4 weeks with one OA, one HR phone screening, two video coding interviews, and one manager interview. The HRs who arranged the interviews are really responsive and responsible. The interviewers are very nice to talk to.",,Shopee
 analye some data use SQL and python   ,No Offer,Neutral Experience,,Average Interview,Shopee
,Accepted Offer,Positive Experience,voice call from Singapore. Basically the interview is cv based. HR asked about my experiences in cv and my understanding of the position I applied to. Then she gave a short introduction of Shopee.,Easy Interview,Shopee
 Why Shopee   ,No Offer,Positive Experience,Phone interview followed by 2 other face to face interview. Interviewers were friendly and the whole interview was smooth. The HR personnel handled the whole process very professionally. Felt that this experience was a good one overall.,Average Interview,Shopee
 targeted 1 particular internship experiences   ,No Offer,Negative Experience,"Tell me about yourself and your past work experiences, what do you know about this job and describe how you will handle a case, Explain what did you do in the internship and what is your understanding of product management. HR was inexperienced, skype interview, HR had strong accent had to ask her to repeat",Average Interview,Shopee
 what was my responsibility at previous job? what can you contribute?   ,Accepted Offer,Positive Experience,"Normal interview level with introduction, previous job background, knowledge on eCommerce business. My expectation at work if I get offered. The atmosphere was pretty relaxing and interviewers were quite friendly.",Average Interview,Shopee
" What did you do in your past job, and how can you apply what you've learned from it to this company   ",Accepted Offer,Positive Experience,"After submitting my application, HR called me a month after. There was a phone interview first before the actual personal interview at Shopee HQ. The same person who called me was also the one who interviewed me, and apart from him was the manager of the team I was gonna be assigned to.",Easy Interview,Shopee
 What trends do you see in the market?   ,No Offer,Negative Experience,,Average Interview,Shopee
 Basic python and SQL test   ,No Offer,Neutral Experience,,Average Interview,Shopee
,No Offer,Negative Experience,"It took me more than 4 months until an invitation for an ""interview"". When I arrived, i was asked to waif and about 30 mins after the scheduled time, all the candidates for the same position were gathered in a room to do a test, a math test. It was a mathematical question combined with elements of physics and you have to know the formula to complete the question. There were no extra papers given, no calculator and you are not allowed to write anything on the question paper. Only 30 minutes was given for this test eventhough the paper initially stated 45 minutes. The HR said that no points will be deducted however it does not seems to be so. Only people that passed the test are being interviewed while the rest did not have anymore chance to prove themselves.",Difficult Interview,Shopee
 What did you do in during your previous role?   ,Declined Offer,Negative Experience,,Average Interview,Shopee
,Declined Offer,Neutral Experience,I was invited to come to Shopee office at Jakarta to be inyerviewed by HR and then continued the process to user interview. The HR interview was a little bit late than the time schedule and i had to wait around 60 minutes since there was urgent meeting for the interviewer,Average Interview,Shopee
 What is the most important thing that would make you stay in a company?   ,No Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,"Had to do a writing test and a behavioural interview. The writing test consisted of writing top 10 coolest things to purchase on Shopee. Then afterwards, there will be a Zoom interview with the SEO manager who will assess your behaviour and fit for the company.",Average Interview,Shopee
 First tell me about yourself   ,Accepted Offer,Positive Experience,"Phone interview with HR first then direct interview with the cat managers. both interviews were quite fast, within 30 minutes, i think the phone interview was shorter and the hr person was very friendly",Average Interview,Shopee
 design a hash table that can expand dynamically   ,Accepted Offer,Positive Experience,,Difficult Interview,Shopee
,No Offer,Positive Experience,Overall good experience. The interviewer were really good and the whole process was really fast. So you better prepared with your CV knowledge and learn basic psychological concepts. Make sure you are prepared with your own questions.,Average Interview,Shopee
,Accepted Offer,Positive Experience,"Received a call from recruiter about the upcoming group interview. The group interview consist of 10 people, a basic interview question, work background and all. The one who passed the group interview will be having an interview with hiring manager then the one who passed the interview with hiring manager will be having a test/assestment to be done. Afterwards, if you pass the test, you will be having a post-interview feedback. Week after, they will let you know if you got the position or not.",Average Interview,Shopee
 What are your skills / interest.   ,No Offer,Positive Experience,Very friendly and efficient process. The interviewer was detailed in sharing the various roles open for hiring in the organisation and would recommend the areas which your skills best fit the organisation.,Average Interview,Shopee
 past experience and job scope for previous internship.   ,No Offer,Negative Experience,"hr recruiter was very professional and screening phone call with her was great. however, the interview with a manager was one of the worst interview experiences ever. this manager made me feel so disrespected as a candidate and did not conduct the interview in a professional manner.",Average Interview,Shopee
" Given a binary tree (not ordered, not search tree nor heap), root node and a list of initially infected nodes, return number of quarantined nodes (nodes that are children of infected or quarantined nodes)   ",No Offer,Positive Experience,,Difficult Interview,Shopee
 Tell me more about yourself   ,Declined Offer,Positive Experience,"HR Manager was friendly and provided information before the interview took place. There was a better understanding of the happenings and the overall reputation of the company at present. The questions were as expected (i.e. tell me more about yourself, why are you applying for Shopee, etc. )",Average Interview,Shopee
,Accepted Offer,Positive Experience,,Difficult Interview,Shopee
 Find out more about me   ,No Offer,Neutral Experience,,Average Interview,Shopee
" Past experience, ideas for company, where you see yourself in 5 years.   ",No Offer,Positive Experience,,Average Interview,Shopee
 What makes you applied shopee   ,No Offer,Positive Experience,At first hr will contact you to ask for your available time slot. Then first round is with hr phone interview about 30 minutes. Then you need to take a test. After that you have to go for another round of interview with the team.,Average Interview,Shopee
 Scenario Question: If one of the companies contracted is working slow how would you act?   ,No Offer,Neutral Experience,,Average Interview,Shopee
" There many Management trainee opening in Thailand, but why you chose applying GLP?   ",No Offer,Positive Experience,,Easy Interview,Shopee
 What is TCP 3 way handshake?   ,No Offer,Neutral Experience,,,Shopee
,Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Neutral Experience,,,Shopee
 How will you tackle fraud?   ,No Offer,Negative Experience,,Easy Interview,Shopee
,Declined Offer,Positive Experience,,Average Interview,Shopee
 When can start work? How long I can work for?   ,Declined Offer,Positive Experience,,Easy Interview,Shopee
" Tell me about yourself? like name, domicile   ",Accepted Offer,Positive Experience,,Average Interview,Shopee
,No Offer,Positive Experience,"For the HR interview, there will be 1 interviewer with 8 candidates in the same meeting room via Zoom. The interviewer will asked several questions and we answered it one by one. After asking some questions, she will explain about BD jobdesc dan gave us some time to ask some questions. She asked in English but it’s fine if you want to answer in Bahasa",Average Interview,Shopee
 Q: What is the difference between optimistic and pessimistic locks?   ,No Offer,Neutral Experience,"1 coding test and 2 technical interviews. The coding test had 2 questions, and they were easy and medium difficulty, They were about heaps and double-ended queues. During the interview, there was a question on writing an SQL query and command line applications. Overall, the interview questions were much more difficult than the coding test. In the second interview, there were communication barriers because I could not speak mandarin well.",Difficult Interview,Shopee
 Technical test - SQL and Python questions to be cmpleted in 90 mins   ,Declined Offer,Neutral Experience,,Difficult Interview,Shopee
 The recruiter didn't ask any work-relevant questions so I have nothing to say.   ,No Offer,Negative Experience,Took less than 10 mins after waiting for more than a half-hour. The recruiter seemed very tired. She was working with her laptop while I introduce myself and didn't even give a glance. She didn't ask any work-relevant questions.,Average Interview,Shopee
,Accepted Offer,Positive Experience,"First, I did an interview with the HR representative online in a group. After that, I received an email that I passed the interview and got an invitation for user interview on the same day.",Easy Interview,Shopee
 Unable to disclose interview questions   ,Declined Offer,Positive Experience,"Online assessment followed by 2 rounds of interviews. One interviewer in the first round, and one interviewer in the final round. The interview is quite easy, make sure you know your stuff.",Easy Interview,Shopee
 they asked about the work experience based on your resume   ,No Offer,Positive Experience,"I searched the career website. I applied online and waited for two days. After, the HR contacted me for an interview . The interview lasted around 20 minutes via phone call.",Easy Interview,Shopee
 What have you done during MCO? What is this job about if you work during MCO? Explain it in more details   ,No Offer,Negative Experience,"Phone call interview to ask about what you did during MCO and what do you understand about the role you applied, what do you think this role is about mostly not related to yourself",Average Interview,Shopee
" Tell me about yourself, Why Shopee? Where do you see yourself in 5years?   ",No Offer,Negative Experience,"Heard back over a month after applying, went through 3 rounds of interviews didn't make it to the last round. Tedious process for an entry-level position. Standard interview questions not too hard. Recruiters were pleasant, hiring manager didn't seem to be interested, felt like they already had an answer.",Easy Interview,Shopee
,No Offer,Positive Experience,,Easy Interview,Shopee
 How would you troubleshoot using the OSI layer?   ,No Offer,Positive Experience,"They have a very extensive hiring process, I had to go through multiple interviews for an entry-level position. However, the process for my case was fast, the interview intervals happened in the span of a week or immediately the next day.",Average Interview,Shopee
 What are your expectations of what you will be doing?   ,Accepted Offer,Positive Experience,"Apply through website, get an invitation for online math test, Immediately in the afternoon after the test i got an invitation for HR interview, Wait for 2 weeks until a user interview. It was challenging and very hard competitor all from reputable university. But it was a good experience. So glad i got accepted.",Average Interview,Shopee
 How much do you think Starbucks make? Count it without calculator   ,No Offer,Negative Experience,,Difficult Interview,Shopee
 What would your strategy be in negotiating with a partner?   ,Accepted Offer,Positive Experience,,Average Interview,Shopee
 What are the things you are looking for in a company?   ,Accepted Offer,Positive Experience,"Its only three weeks for me before I got hire. HR Initial Interview. After that, if you pass, interview with the Finance Manager and if qualified another final interview. Then wait a week, if you will get an offer",Difficult Interview,Shopee
,Accepted Offer,Positive Experience,"Overall process took 3 weeks. HR was fast and responsive throughout the whole process. There was 1 online assessment, then 2 technical interview round. Coding qns was of moderate difficulty compared to other interviews that I've been to. There was some Databse, O.S and Network-related questions too so make sure to read up on that.",Average Interview,Shopee
 What are some of the projects that you have done?   ,Accepted Offer,Positive Experience,"Submit an online application form on their website. After about 2-4 weeks, received an email to complete a python and SQL test. After the test, There was a phone interview with hr on general questions and period of availability. Then there was a face-to-face interview with the hiring manager. Then an added second round face-to-face interview with the hiring managers again.",Average Interview,Shopee
 How would you figure out the issue with a specific category?   ,Declined Offer,Positive Experience,"Interviews scheduled pretty fast, recruiters and interviewers were great. Recruiter was prompt to answer questions. Interviewed through google hangouts within a week. Role was not exactly what I expected, but was cleared up with hiring manger.",Difficult Interview,Shopee
